Task Type,Duration (hrs),Priority,Location,Preferred Time of Day,Day of Week,Special Dates,Scheduled Time,Slot Adjustment
Social,2.0,Low,Various,Afternoon,Friday,Anniversary,4:00 PM,Moved Earlier
Errands,2.0,Low,Home Office,Afternoon,Wednesday,Holiday,9:00 AM,No Change
Deep Work,2.0,Medium,Cafe,Morning,Thursday,None,2:00 PM,Moved Later
Errands,2.0,High,Office,Afternoon,Thursday,None,9:00 AM,Moved Earlier
Errands,3.0,Medium,Various,Morning,Saturday,Holiday,9:00 AM,Moved Later
Exercise,3.0,High,Home Office,Morning,Tuesday,None,4:00 PM,Moved Later
Deep Work,1.0,High,Cafe,Afternoon,Monday,Holiday,3:00 PM,No Change
Deep Work,0.5,High,Cafe,Afternoon,Wednesday,Birthday,11:00 AM,No Change
Deep Work,2.0,Medium,Cafe,Morning,Thursday,Holiday,2:00 PM,Moved Earlier
Errands,1.0,High,Cafe,Morning,Tuesday,None,5:00 PM,No Change
Social,0.5,Medium,Cafe,Evening,Friday,Holiday,3:00 PM,Moved Earlier
Deep Work,1.5,Low,Various,Morning,Thursday,Anniversary,11:00 AM,Moved Later
Errands,3.0,Low,Home Office,Evening,Tuesday,Birthday,2:00 PM,Moved Later
Exercise,0.5,High,Cafe,Evening,Monday,Birthday,12:00 PM,Moved Earlier
Social,1.5,Medium,Gym,Evening,Monday,Holiday,11:00 AM,Moved Later
Exercise,0.5,Low,Gym,Afternoon,Thursday,None,5:00 PM,No Change
Social,3.0,Medium,Home Office,Afternoon,Sunday,Anniversary,6:00 PM,Moved Later
Errands,3.0,Medium,Office,Morning,Thursday,Birthday,10:00 AM,No Change
Meeting,1.0,High,Office,Evening,Saturday,Birthday,9:00 AM,Moved Earlier
Social,2.0,Low,Office,Afternoon,Wednesday,None,10:00 AM,Moved Earlier
Exercise,0.5,High,Gym,Afternoon,Tuesday,None,3:00 PM,Moved Later
Errands,0.5,High,Office,Afternoon,Thursday,Anniversary,6:00 PM,Moved Later
Social,1.5,Low,Various,Afternoon,Wednesday,Holiday,9:00 AM,No Change
Meeting,3.0,Low,Cafe,Afternoon,Saturday,None,2:00 PM,No Change
Meeting,0.5,Medium,Gym,Evening,Wednesday,Holiday,3:00 PM,Moved Later
Deep Work,3.0,Low,Home Office,Evening,Thursday,Anniversary,5:00 PM,Moved Later
Deep Work,0.5,Medium,Home Office,Evening,Monday,Holiday,4:00 PM,Moved Earlier
